Date,Source,Site ID,POC,nval,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,nx,ny
8/1/2022,AQS,350010023,1,11.8,ppb,10,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
8/1/2022,AQS,350010029,1,11.7,ppb,10,SOUTH VALLEY,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.01708,-106.65739
8/1/2022,AQS,350130021,1,9,ppb,8,6ZM Desert View,24,100,42602,Nitrogen dioxide (NO2),29740,"Las Cruces, NM",35,New Mexico,13,Dona Ana,31.79621812,-106.5844338
8/1/2022,AQS,350130022,1,14,ppb,13,6ZN Santa Teresa,24,100,42602,Nitrogen dioxide (NO2),29740,"Las Cruces, NM",35,New Mexico,13,Dona Ana,31.78788495,-106.6833245
8/1/2022,AQS,350151005,1,15,ppb,14,5ZR ON BLM LAND BORDERING RESIDENTIAL AREA OUTSIDE CARLSBAD CITY LIM,24,100,42602,Nitrogen dioxide (NO2),16100,"Carlsbad-Artesia, NM",35,New Mexico,15,Eddy,32.38011762,-104.2627263
8/1/2022,AQS,350250008,1,4,ppb,4,5ZS Hobbs Jefferson,24,100,42602,Nitrogen dioxide (NO2),26020,"Hobbs, NM",35,New Mexico,25,Lea,32.726656,-103.122917
8/1/2022,AQS,350450009,1,16,ppb,15,1ZB Bloomfield,24,100,42602,Nitrogen dioxide (NO2),22140,"Farmington, NM",35,New Mexico,45,San Juan,36.74222694,-107.9775667
8/1/2022,AQS,350450018,1,9,ppb,8,,24,100,42602,Nitrogen dioxide (NO2),22140,"Farmington, NM",35,New Mexico,45,San Juan,36.80973516,-107.6521917
8/1/2022,AQS,350450020,1,2.4,ppb,2,Chaco Culture NHP - Radio Repeater,24,100,42602,Nitrogen dioxide (NO2),22140,"Farmington, NM",35,New Mexico,45,San Juan,36.035,-107.904167
8/1/2022,AQS,350451005,2,7,ppb,7,1H Substation,23,96,42602,Nitrogen dioxide (NO2),22140,"Farmington, NM",35,New Mexico,45,San Juan,36.79666715,-108.4731384
8/1/2022,AQS,350451233,1,7.6,ppb,7,,24,100,42602,Nitrogen dioxide (NO2),22140,"Farmington, NM",35,New Mexico,45,San Juan,36.8071,-108.69523
8/1/2022,AQS,401091037,1,7,ppb,7,OKC NORTH,24,100,42602,Nitrogen dioxide (NO2),36420,"Oklahoma City, OK",40,Oklahoma,109,Oklahoma,35.614131,-97.475083
8/1/2022,AQS,401359021,1,9.1,ppb,8,,19,79,42602,Nitrogen dioxide (NO2),22900,"Fort Smith, AR-OK",40,Oklahoma,135,Sequoyah,35.40814,-94.524413
8/1/2022,AQS,401431127,1,13.8,ppb,12,NORTH TULSA - FIRE STATION#24,24,100,42602,Nitrogen dioxide (NO2),46140,"Tulsa, OK",40,Oklahoma,143,Tulsa,36.204902,-95.976537
8/1/2022,AQS,50350005,1,6,ppb,6,MARION,24,100,42602,Nitrogen dioxide (NO2),32820,"Memphis, TN-MS-AR",5,Arkansas,35,Crittenden,35.19728763,-90.19314077
8/1/2022,AQS,51190007,1,6.7,ppb,6,PARR,24,100,42602,Nitrogen dioxide (NO2),30780,"Little Rock-North Little Rock-Conway, AR",5,Arkansas,119,Pulaski,34.7561888,-92.28129586
8/1/2022,AQS,220050004,1,10.7,ppb,9,Dutchtown,24,100,42602,Nitrogen dioxide (NO2),12940,"Baton Rouge, LA",22,Louisiana,5,Ascension,30.22965265,-90.9656281
8/1/2022,AQS,220190008,1,10,ppb,9,Westlake,19,79,42602,Nitrogen dioxide (NO2),29340,"Lake Charles, LA",22,Louisiana,19,Calcasieu,30.26260412,-93.28508427
8/1/2022,AQS,220330013,1,2.3,ppb,2,Pride,24,100,42602,Nitrogen dioxide (NO2),12940,"Baton Rouge, LA",22,Louisiana,33,East Baton Rouge,30.700895,-91.056068
8/1/2022,AQS,220470009,1,3.4,ppb,3,Bayou Plaquemine,24,100,42602,Nitrogen dioxide (NO2),12940,"Baton Rouge, LA",22,Louisiana,47,Iberville,30.22125458,-91.31541823
8/1/2022,AQS,220511001,1,26.3,ppb,25,Kenner,24,100,42602,Nitrogen dioxide (NO2),35380,"New Orleans-Metairie, LA",22,Louisiana,51,Jefferson,30.04123773,-90.27282584
8/1/2022,AQS,220710021,1,28.3,ppb,26,I-610,24,100,42602,Nitrogen dioxide (NO2),35380,"New Orleans-Metairie, LA",22,Louisiana,71,Orleans,29.996013,-90.11819
8/1/2022,AQS,221210001,1,19.3,ppb,18,Port Allen,24,100,42602,Nitrogen dioxide (NO2),12940,"Baton Rouge, LA",22,Louisiana,121,West Baton Rouge,30.500642,-91.213556
